Event,Artist,Event__location,Description,URL,Event__start,Event__end,District,Address,PLZ,Category,Tag,
Seniorita Latifa Sharifah,Jasmin Werner,Galerie Guido W. Baudach,"Jasmin Werner in her practice investigates historical analysis, ideologies and individual desire by creating her own system of reference and combiningdifferent cultures and epochs non-hierachically. Her sculptures explore a perception of economical, social and spiritual development poled on constantgrowth. By this, Werner questions the modern concept of productivity with an emphasis on its gender-specificities.",http://www.guidowbaudach.com/,1/23/2021,3/6/2021,kreuzberg,"Galerie Guido W. Baudach,Pohlstrasse 67, ",10785,gallery,,0_Seniorita Latifa Sharifah
Die Zukunft der Heiligen,Thomas Helbig,Galerie Guido W. Baudach,"Galerie Guido W. Baudach is pleased to present an exhibition of new paintings by Thomas Helbig under the title ie Zukunft der Heiligen(The Future of the Saints). It is the eighth solo exhibition of the Berlin-based painter and sculptor with the gallery since 2001.In his painterly practice over the last twenty years, Thomas Helbig has repeatedly explored the boundaries of the genre. He has worked with a wide variety of materials, using the most diverse painting grounds and media. With the paintings for the exhibition ie Zukunft der Heiligen e is now returning to the technique he originally used. The works are all executed in oil on canvas. Helbig also draws on formative elements from his own early work in terms of pictorial language. What emerges, however, is something completely new. Helbig combines symbolic references to the classical avant-garde with abstract motifs that evoke associations with cosmic phenomena and at the same time recall the moonlit night skies of Romanticism - albeit in close-up. Seen purely from a painterly point of view, here multi-coloured underlaid areas of sulphurous pastel yellow enter into a relationship with softly layered brown tones and form a contrasting space of light and shadow that is both shimmering and interwoven with delicate sfumato.",http://www.guidowbaudach.com/,11/7/2020,1/16/2021,kreuzberg,"Galerie Guido W. Baudach,Pohlstrasse 67, ",10785,gallery,,0_Die Zukunft der Heiligen
Adidas Boy and : tingsted,Tal R,BORCH Gallery,"BORCH Gallery & Editions are delighted o present Tal R’s most recent print rojects didas Boy(2020) and: tingsted(2019) in erlin.The magery for Tal R’s didas Boy,  suite of 24 woodcuts, is ased on a group of bronze sculptures created for a solo exhibition at Ny arlsberg Glyptotek in 2020. n the six prints of the: ingsted eries, n the other hand, the viewer encounters people and bjects from Tal R’ immediate surrounding a male figure, flee market finds like asks and toy nimals or a flower vase. In neither of the two series, is the beholder provided with any nformation on what intrigued him about the objects or people; instead, he translates is fascination for them into a eries of prints exuding the calm and tranquil tmosphere of the space they inhabit.",http://www.borcheditions.com/,1/30/2021,4/10/2021,charlottenburg,"BORCH Gallery,Goethestr. 79, ",10623,gallery,,0_Adidas Boy and : tingsted
Monoprints,Per  Kirkeby,BORCH Gallery,"BORCH Gallery is elighted to present a series of monoprints by the late anish artist Per Kirkeby (1938 2018). Though irkeby announced the end of his career as a painter in 2015, his collaboration ith BORCH Editions, dating ack as far as 1979, continued nevertheless. In2017, he created a series of multi-coloured monoprints in collaboration with aster printer Mette Ulstrup that will be on view for the first time in Berlin.",http://www.borcheditions.com/,11/7/2020,1/23/2021,charlottenburg,"BORCH Gallery,Goethestr. 79, ",10623,gallery,,0_Monoprints
Morag Keil,Morag Keil,Galerie Isabella Bortolozzi,,http://www.bortolozzi.com/,2/27/2021,4/3/2021,kreuzberg,"Galerie Isabella Bortolozzi,Sch_neberger Ufer 61, ",10785,gallery,,0_Morag Keil
Public Affairs,"Hannah  Quinlan, 														Rosie  Hastings",Galerie Isabella Bortolozzi,,http://www.bortolozzi.com/,10/31/2020,1/30/2021,kreuzberg,"Galerie Isabella Bortolozzi,Sch_neberger Ufer 61, ",10785,gallery,,0_Public Affairs
Cathy Wilkes,Cathy Wilkes,BQ,,http://www.bqberlin.de/,2/2/2021,4/10/2021,mitte,"BQ,Weydingerstr. 10, ",10178,gallery,,0_Cathy Wilkes
Wolfgang Tillmans,Wolfgang Tillmans,Galerie Buchholz,,http://www.galeriebuchholz.de/,11/27/2020,2/13/2021,charlottenburg,"Galerie Buchholz,Fasanenstr. 30, ",10719,gallery,,0_Wolfgang Tillmans
Polychrome Futures,Jason Martin,Buchmann Galerie,"Since February 2020, Jason Martin has dedicated himself to working on the preparation and evelopment of this new series of paintings. This group of works marks an important shift in he artist’s practice: He returns to the paintbrush, but for the first time uses a versatile colour alette in different hues and tones to create paintings of immense depth and space.Looking at the polychrome paintings one journeys into something that begins on the surface, ut which then pulls you in deeper and deeper, opening into an unfathomable space beyond. ne reaches a surprising, almost figurative reality inside the painting, much like looking into a lazing fire, swirling water or ice. The lateral movement of the brushwork supports the multi-layered play of colours in the more translucent paintings, while others retain an opaqueness.",http://www.buchmanngalerie.com/,11/20/2020,1/30/2021,kreuzberg,"Buchmann Galerie,Charlottenstr. 13 / Buchmann Box _ Charlottenstr. 75, ",10969,gallery,,0_Polychrome Futures
Tony Cragg,Tony Cragg,Buchmann Galerie,,http://www.buchmanngalerie.com/,2/13/2021,3/13/2021,kreuzberg,"Buchmann Galerie,Charlottenstr. 13 / Buchmann Box _ Charlottenstr. 75, ",10969,gallery,,0_Tony Cragg
Infinite Games,"Jadé  Fadojutimi, 														Ximena  Garrido-Lecca, 														Stefanie Heinze, 														 Jacqueline  Humphries, 														Sanya Kantarovsky, 														Rodney  McMillian, 														Sarah Morris, 														Virginia Overton, 														Laura  Owens, 														Jorge Pardo, 														Seth Price, 														Pieter Schoolwerth, 														Wim Wenders",Capitain Petzel,,http://www.capitainpetzel.de/,11/21/2020,1/30/2021,mitte,"Capitain Petzel,Karl-Marx-Allee 45, ",10178,gallery,,0_Infinite Games
Isabella Ducrot,Isabella Ducrot,Capitain Petzel,,http://www.capitainpetzel.de/,2/13/2021,3/13/2021,mitte,"Capitain Petzel,Karl-Marx-Allee 45, ",10178,gallery,,0_Isabella Ducrot
Abracadabra,Yael Bartana,Capitain Petzel,"Capitain Petzel is pleased to present an installation by Yael Bartana, consisting of her new typographic work bracadabra nd the ever-relevant neon REMBLING TIMES.Yael Bartana's new poster series bracadabra eintroduces an ancient spell as a comment on the rise of superstition and conspiracy theories. The art work addresses both a fictional alternative way to ""fight"" the current global pandemic, and the rise of new movements denying scientific facts. The Abracadabra spell was used throughout history in magical gestures and performances. The mysterious term ""Abracadabra"" first appears in the writings of Serenus Sammonicus, a medical savant who served as physician to several Roman Emperors. In his book, iber Medicinalis, Sammonicus suggests a literary amulet against fever and malaria: the word ""Abracadabra"" written in the form of a triangle. Though the etymological origin of the word is unclear, it may well have derived from the Hebrew ""Evra KeDavra"", literally meaning ""I shall create with the use of speech"", a reference to the creation of the world, accomplished   as described in the Hebrew Bible   merely through the use of words.",http://www.capitainpetzel.de/,12/5/2020,1/30/2021,mitte,"Capitain Petzel,Karl-Marx-Allee 45, ",10178,gallery,,0_Abracadabra
Christopher Williams,Christopher Williams,Capitain Petzel,,http://www.capitainpetzel.de/,2/13/2021,4/17/2021,mitte,"Capitain Petzel,Karl-Marx-Allee 45, ",10178,gallery,,0_Christopher Williams
Matt Mullican,Matt Mullican,Capitain Petzel,,http://www.capitainpetzel.de/,2/13/2021,4/17/2021,mitte,"Capitain Petzel,Karl-Marx-Allee 45, ",10178,gallery,,0_Matt Mullican
ongoing schmidt pick,"Nan Goldin, 														Maximilian Kirmse, 														Stephanie Kloss, 														Lindsay Lawson, 														Isa Melsheimer, 														Piotr  Nathan, 														Katharina Sieverding, 														Erik Schmidt, 														Erik van Lieshout, 														Magnus Plessen, 														Katharina  Wulff, 														Davide Zucco, 														a.o.",Carlier | Gebauer,,http://www.carliergebauer.com/,1/30/2021,3/6/2021,kreuzberg,"Carlier | Gebauer,Markgrafenstr. 67, ",10969,gallery,,0_ongoing schmidt pick
Sightless/Mother,Paul  Graham,Carlier | Gebauer,"For nearly 40 years, Paul Graham’s work has presented an unflagging commitment to depicting life as it unfolds. He first established his reputation in the early 1980s by introducing the practice of color photography into the classic genre of “social documentary.” Since then, Graham has turned his lens towards seemingly incidental, fleeting moments, capturing life in passing as an endless flow of time rather than an isolated or static instant. Graham himself has claimed that the photography that he most respects “pulls something out of the ether of nothingness” and over four decades of his rich and layered practice, Graham has cultivated this ethos.",http://www.carliergebauer.com/,11/14/2020,1/23/2021,kreuzberg,"Carlier | Gebauer,Markgrafenstr. 67, ",10969,gallery,,0_Sightless/Mother
Pakui  Hardware,Pakui  Hardware,Carlier | Gebauer,"When Neringa  erniauskaité and Ugnius Gelguda founded Pakui Hardware in 2014, the body increasingly began to be experienced a post-natural, porous interface. A malleable entity, it revealed itself perpetually reshaped by an interplay of personal transformations, interpersonal relations and structural power mechanisms. Attuned to philosophies such as new materialism, bio-capitalism and necropolitics as well as closely connected to scientific and technological research, their sculptural installations have since then introduced the viewer to ecosystems that intensify emerging sensorial patterns by abstracting the shapes that usually convey them.",http://www.carliergebauer.com/,11/14/2020,1/23/2021,kreuzberg,"Carlier | Gebauer,Markgrafenstr. 67, ",10969,gallery,,0_Pakui  Hardware
"Juan Antonio Olivares, 														Stephanie Comilang, 														Vanessa Safavi, 														a.o.","Juan Antonio Olivares, 														Stephanie Comilang, 														Vanessa Safavi, 														a.o.",ChertLüdde,,http://www.chertluedde.com/,2/20/2021,4/3/2021,kreuzberg,"ChertLüdde,Ritterstrasse 2A, ",10969,gallery,,"0_Juan Antonio Olivares, 														Stephanie Comilang, 														Vanessa Safavi, 														a.o."
Stringfigures and Watercolours,"Zora Mann, 														Vivien  Cahusac de Caux",ChertLüdde,,http://www.chertluedde.com/,12/6/2020,1/16/2021,kreuzberg,"ChertLüdde,Ritterstrasse 2A, ",10969,gallery,,0_Stringfigures and Watercolours
Alije  Vokshi,Alije  Vokshi,ChertLüdde,,http://www.chertluedde.com/,1/23/2021,2/27/2021,kreuzberg,"ChertLüdde,Ritterstrasse 2A, ",10969,gallery,,0_Alije  Vokshi
Cosmopolitan Haze,Lorenza  Longhi,ChertLüdde,,http://www.chertluedde.com/,12/6/2020,1/30/2021,kreuzberg,"ChertLüdde,Ritterstrasse 2A, ",10969,gallery,,0_Cosmopolitan Haze
Ryder  Morey-Weale,Ryder  Morey-Weale,ChertLüdde,,http://www.chertluedde.com/,2/20/2021,4/3/2021,kreuzberg,"ChertLüdde,Ritterstrasse 2A, ",10969,gallery,,0_Ryder  Morey-Weale
_ber den Schatten_2,"William Anastasi, 														Oliver  Boberg, 														Cécile Dupaquier, 														Hans-Peter Feldmann, 														Tom  Früchtl, 														Sid Gastl, 														Udo  Koch, 														Jochen Mühlenbrink, 														Charlotte Posenenske, 														Alexandra Ranner, 														Michael Reiter, 														Juergen  Staack, 														Martina Wolf",Mehdi Chouakri,,http://www.mehdi-chouakri.com/,2/20/2021,3/20/2021,charlottenburg,"Mehdi Chouakri,Bleibtreustra_e 41, (Eingang über Mommsenstra_e 4), ",10623,gallery,,0__ber den Schatten_2
Guys & Dolls & Then Some...,,Mehdi Chouakri,,http://www.mehdi-chouakri.com/,1/12/2021,2/13/2021,charlottenburg,"Mehdi Chouakri,Fasanenplatz / Fasanenstrasse 61, ",10719,gallery,,0_Guys & Dolls & Then Some...
_ber den Schatten,"William Anastasi, 														Oliver  Boberg, 														Cécile Dupaquier, 														Hans-Peter Feldmann, 														Tom  Früchtl, 														Sid Gastl, 														Udo  Koch, 														Jochen Mühlenbrink, 														Charlotte Posenenske, 														Alexandra Ranner, 														Michael Reiter, 														Juergen  Staack, 														Martina Wolf",Mehdi Chouakri,,http://www.mehdi-chouakri.com/,2/20/2021,3/20/2021,charlottenburg,"Mehdi Chouakri,Fasanenplatz / Fasanenstrasse 61, ",10719,gallery,,0__ber den Schatten
typewritten,"Peter  Roehr, 														Carl Andre",Mehdi Chouakri,,http://www.mehdi-chouakri.com/,11/17/2020,1/30/2021,charlottenburg,"Mehdi Chouakri,Bleibtreustra_e 41, (Eingang über Mommsenstra_e 4), ",10623,gallery,,0_typewritten
Hurricane Doris,Sarah Lucas,Contemporary Fine Arts,,http://www.cfa-berlin.com/,12/12/2020,2/27/2021,charlottenburg,"Contemporary Fine Arts,Grolmanstrasse 32/33, ",10623,gallery,,0_Hurricane Doris
Ganz anders gleich_2 - Kunst aus _sterreich und Deutschland,,Crone Berlin,,http://www.galeriecrone.com/,1/23/2021,3/27/2021,charlottenburg,"Crone Berlin,Fasanenstrasse 29, ",10719,gallery,,0_Ganz anders gleich_2 - Kunst aus _sterreich und Deutschland
Ganz anders gleich - Kunst aus _sterreich und Deutschland,,Crone Side,,http://www.galeriecrone.de/,1/23/2021,3/27/2021,tempelhof,"Crone Side,Tempelhofer Damm 2, ",12101,gallery,,0_Ganz anders gleich - Kunst aus _sterreich und Deutschland
Verlorene Arbeitstage,KP Brehmer,DIEHL,,http://www.galerievolkerdiehl.com/,11/28/2020,2/10/2021,charlottenburg,"DIEHL,Niebuhrstrasse 2, ",10629,gallery,,0_Verlorene Arbeitstage
Love is Black,Simon  English,DIEHL,,http://www.galerievolkerdiehl.com/,2/13/2021,4/2/2021,charlottenburg,"DIEHL,Niebuhrstrasse 2, ",10629,gallery,,0_Love is Black
Secrets of a Happy Household,Katarina Janeckova Walshe,DITTRICH & SCHLECHTRIEM,"DITTRICH & SCHLECHTRIEM is pleased to present SECRETS OF A HAPPY HOUSEHOLD, the first solo show with the gallery in Berlin by KATARINA JANECKOVA ALSHE (b. 1988 in Bratislava, Slovakia / lives and works in Corpus Christi, Texas, USA). The exhibition features large-scale oil and acrylic paintings on canvas as well s a series of works on paper and writings. Janeckova Walshe documents her life in various portraits and depictions of human and animal figures cast in mundane yet rovocative scenarios, with titles that are as fittingly descriptive as they are fraught such as Dishwashing In Texas III, Marriage Is a Choice, and What Did You Do All Day aby?. Expressive compositions of cowboys and bears or domestic interiors and scenes from intimate relationships are paired with self-portraits navigating open or bstacle-filled Texan landscapes, altogether conveying a blend of unvarnished truth and psychological fantasy.",http://www.dittrich-schlechtriem.com/,1/15/2021,2/27/2021,mitte,"DITTRICH & SCHLECHTRIEM,Linienstrasse 23, ",10178,gallery,,0_Secrets of a Happy Household
Freedom & Independence,"John Bock, 														J_rg Buttgereit, 														Lea  Draeger, 														Tim Etchells, 														Heiner Franzen, 														Assaf Gruber, 														Yuki Jungesblut, 														Sandro  Kopp, 														The Ljilja, 														Bj_rn Melhus, 														Otto Muehl, 														Hajnal  Németh, 														Bruno  Schleinstein",Ebensperger,"The exhibition “Freedom and Independence” borrows its name from Bj rn Melhus' eponymous film reedom & Independence. t is n ever evolving show using ts title as both, a motto and a theme, while understanding 'freedom' and 'independence' as value and virtue, especially in the year 2020.",http://www.ebensperger.net/,11/14/2020,1/31/2021,wedding,"Ebensperger,Krematorium Wedding, Plantagenstra_e 30 (across from no. 10), ",13347,gallery,,0_Freedom & Independence
!erro,Marte Ekn_s,Efremidis,"The exhibition ! centers around a series of bollards alongside maintenance tools, insulation materials and inflatables. Erected throughout the city, the uniform short posts act as a stoppage: to limit traffic or obstruct passage. Marte Ekn s’ motley ensemble of bollards draws attention to their individual make-ups.",http://www.efremidisgallery.com/,11/28/2020,1/30/2021,charlottenburg,"Efremidis,Ernst-Reuter-Platz 2, ",10587,gallery,,0_!erro
Beautiful and Damned,Mitchell  Anderson,Efremidis,,http://www.efremidisgallery.com/,2/13/2021,4/3/2021,charlottenburg,"Efremidis,Ernst-Reuter-Platz 2, ",10587,gallery,,0_Beautiful and Damned
Schmale Anzeige,[erp] Willem  Oorebeek,Efremidis,,http://www.efremidisgallery.com/,2/13/2021,4/3/2021,charlottenburg,"Efremidis,Ernst-Reuter-Platz 2, ",10587,gallery,,0_Schmale Anzeige
"[erp] Gerry  Bibby, 														Marte Ekn_s, 														 Emanuel  Rossetti","[erp] Gerry  Bibby, 														Marte Ekn_s, 														 Emanuel  Rossetti",Efremidis,,http://www.efremidisgallery.com/,11/28/2020,1/30/2021,charlottenburg,"Efremidis,Ernst-Reuter-Platz 2, ",10587,gallery,,"0_[erp] Gerry  Bibby, 														Marte Ekn_s, 														 Emanuel  Rossetti"
Backstage with the modern dancers,Infinite Game+E40,Galerie EIGEN + ART Berlin,,http://www.eigen-art.com/,2/11/2021,3/20/2021,mitte,"Galerie EIGEN + ART Berlin,Auguststr. 26, ",10117,gallery,,0_Backstage with the modern dancers
unfollow,Raul Walch,Galerie EIGEN + ART Berlin,,http://www.eigen-art.com/,1/7/2021,2/6/2021,mitte,"Galerie EIGEN + ART Berlin,Auguststr. 26, ",10117,gallery,,0_unfollow
"cut, cut, collab",Maja  Behrmann,EIGEN + ART Lab,,http://www.eigen-art-lab.com/,1/8/2021,2/6/2021,mitte,"EIGEN + ART Lab,Torstra_e 220, ",10115,gallery,,"0_cut, cut, collab"
Alan  Charlton,Alan  Charlton,Konrad Fischer Galerie,,http://www.konradfischergalerie.de/,2/19/2021,4/17/2021,mitte,"Konrad Fischer Galerie,Neue Grünstrasse 12, ",10179,gallery,,0_Alan  Charlton
"Die Welt erz_hlt (zweifach, sternf_rmig)",Harald Klingelh_ller,Konrad Fischer Galerie,,http://www.konradfischergalerie.de/,10/10/2020,1/23/2021,mitte,"Konrad Fischer Galerie,Neue Grünstrasse 12, ",10179,gallery,,"0_Die Welt erz_hlt (zweifach, sternf_rmig)"
Logbuch,Tatjana Valsang,Konrad Fischer Galerie,,http://www.konradfischergalerie.de/,10/10/2020,1/23/2021,mitte,"Konrad Fischer Galerie,Neue Grünstrasse 12, ",10179,gallery,,0_Logbuch
Implicit Movement,,Konrad Fischer Galerie,,http://www.konradfischergalerie.de/,2/19/2021,4/17/2021,mitte,"Konrad Fischer Galerie,Neue Grünstrasse 12, ",10179,gallery,,0_Implicit Movement
Ilya Lipkin,Ilya Lipkin,Lars Friedrich,,http://www.larsfriedrich.net/,1/23/2021,2/28/2021,charlottenburg,"Lars Friedrich,Kantstrasse 154 A, ",10623,gallery,,0_Ilya Lipkin
Das Band,"Flora  Klein, 														Miriam  Visaczki",Lars Friedrich,,http://www.larsfriedrich.net/,11/21/2020,1/17/2021,charlottenburg,"Lars Friedrich,Kantstrasse 154 A, ",10623,gallery,,0_Das Band
Helmut Newton 100 William N. Copley 101,,Galerie Friese,,https://www.galeriefriese.de/,10/31/2020,1/16/2021,charlottenburg,"Galerie Friese ,Meierottostra_e 1, ",10719,gallery,,0_Helmut Newton 100 William N. Copley 101
"Feed-back beweists, Feed-back ist Gesetz",Walter  St_hrer,Galerie Friese,"Als Vertreter der Neuen Figuration hat sich St hrer stets dem pulsierenden, emotionsgeladenen Chaos des Menschen und der Figur verschrieben. Die Einzelausstellung setzt den Fokus auf seine extrem dynamischen Malereien der 1980er und frühen 1990er Jahre und wird von Papierarbeiten aus der gesamten Schaffensphase begleitet.",https://www.galeriefriese.de/,1/23/2021,3/28/2021,charlottenburg,"Galerie Friese ,Meierottostra_e 1, ",10719,gallery,,"0_Feed-back beweists, Feed-back ist Gesetz"
Imagining Reality,"Larissa  De Jesús Negrón, 														Francesca  Facciola, 														Aaron Elvis  Jupin, 														Elena  Minyeyevtseva, 														Emily  Ludwig Shaffer, 														Margaux  Valengin",Future Gallery,,http://futuregallery.org/,11/21/2020,1/7/2021,kreuzberg,"Future Gallery,Sch_neberger Ufer 59, ",10785,gallery,,0_Imagining Reality
Anarchy of silence,Flurin  Bisig,GNYP Gallery,,http://www.gnyp.eu/gallery,1/23/2021,3/6/2021,charlottenburg,"GNYP Gallery,Knesebeckstrasse 96, ",10623,gallery,,0_Anarchy of silence
New works,Otto  Ford,GNYP Gallery,,http://www.gnyp.eu/gallery,2/6/2021,3/6/2021,charlottenburg,"GNYP Gallery,Knesebeckstrasse 96, ",10623,gallery,,0_New works
Everything you touch,Brian  Harte,GNYP Gallery,"Landscape is the work of the mind,” claimed the great historian Simon Schama. “Its scenery is built up as much from strata of memory as from layers of rock.” Be it an idyllic plain field or an obscure wasteland, landscapes are also reservoirs of references; our references, indistinguishable from our biographies. Landscapes may look beautiful and bright from a distance, like the very narrative we tell ourselves of who we are. But come closer and you’ll notice how injured and scarred its surface is, full of mysterious traces and unjustifiable marks. There’s more to a landscape than meets the eye.",http://www.gnyp.eu/gallery,11/14/2020,1/9/2021,charlottenburg,"GNYP Gallery,Knesebeckstrasse 96, ",10623,gallery,,0_Everything you touch
"Stories, human",Aist_  Stancikait_,GNYP Gallery,,http://www.gnyp.eu/gallery,12/12/2020,1/9/2021,charlottenburg,"GNYP Gallery,Knesebeckstrasse 96, ",10623,gallery,,"0_Stories, human"
"Fritz  Klemm, 														Barbara  Klemm","Fritz  Klemm, 														Barbara  Klemm",Galerie Michael Haas,"Gezeigt werden collagierte, zeichnerische Werke von Fritz Klemm (1902-1990) und intensive fotografische Portr ts berühmter Künstler seiner Tochter, der FAZ Fotoreporterin Barbara Klemm (*1939).",http://www.galeriemichaelhaas.de/,1/16/2021,2/27/2021,charlottenburg,"Galerie Michael Haas,Niebuhrstr. 5, ",10629,gallery,,"0_Fritz  Klemm, 														Barbara  Klemm"
_W“,Marcel Eichner,Haverkampf Galerie,,http://www.haverkampf.gallery/,1/6/2021,2/6/2021,charlottenburg,"Haverkampf Galerie,Mommsenstrasse 67, ",10629,gallery,,0__W“
Inge Mahn,Inge Mahn,Galerie Max Hetzler I,,http://www.maxhetzler.com/,2/6/2021,3/13/2021,charlottenburg,"Galerie Max Hetzler I,Bleibtreustra_e 45, ",10623,gallery,,0_Inge Mahn
And thus we existed,Glenn Brown,Galerie Max Hetzler I,"Galerie Max Hetzler is pleased to announce the solo exhibition nd thus we existed ith paintings, drawings and sculptures by lenn Brown t Bleibtreustra e 45 and the gallery's new space at Bleibtreustra e 15/16.One of Britain’s most revered contemporary artists, Brown works across painting, drawing and sculpture, taking as his source material reproduced imagery from art history and popular culture. At the core of his practice is the blending of artistic periods and stylistic genres. Transcending time and pictorial conventions, Brown’s work disarms common distinctions between beauty and abjection, heightening the emotive tension present within.",http://www.maxhetzler.com/,10/31/2020,1/23/2021,charlottenburg,"Galerie Max Hetzler I,Bleibtreustra_e 45, ",10623,gallery,,0_And thus we existed
Karel Appel,Karel Appel,Galerie Max Hetzler II,,http://www.maxhetzler.com/,1/23/2021,2/27/2021,charlottenburg,"Galerie Max Hetzler II,Goethestra_e 2/3, ",10623,gallery,,0_Karel Appel
But the Clouds Never Hung So Low Before,Celeste  Dupuy-Spencer,Galerie Max Hetzler II,"Galerie Max Hetzler is pleased to announce the solo exhibition ut the Clouds Never Hung So Low Before ith recent paintings by eleste Dupuy-Spencer t Goethestra e 2/3. This is the artist’s first solo exhibition outside of the USA, and with the gallery.Celeste Dupuy-Spencer creates blistering paintings, loaded with a complex mix of iconography, drawn from the real and the imaginary. The artist grapples with urgent and fundamental issues through the symbolic and at times historical nature of its subjects. Both unflinching and empathic, Dupuy-Spencer gives life to arresting compositions that can be bleak and troubling, at times softer and endearing, in which the worldly and the extraordinary, the holy and the base, merge to present a multitude of possible meanings and narratives.",http://www.maxhetzler.com/,11/7/2020,1/9/2021,charlottenburg,"Galerie Max Hetzler II,Goethestra_e 2/3, ",10623,gallery,,0_But the Clouds Never Hung So Low Before
Jeff Elrod,Jeff Elrod,Galerie Max Hetzler III,,http://www.maxhetzler.com/,1/30/2021,3/6/2021,charlottenburg,"Galerie Max Hetzler III,Bleibtreustra_e 15/16, ",10623,gallery,,0_Jeff Elrod
And thus we_2 existed,Glenn Brown,Galerie Max Hetzler III,"Galerie Max Hetzler is pleased to announce the solo exhibition nd thus we existed ith paintings, drawings and sculptures by lenn Brown t Bleibtreustra e 45 and the gallery's new space at Bleibtreustra e 15/16.One of Britain’s most revered contemporary artists, Brown works across painting, drawing and sculpture, taking as his source material reproduced imagery from art history and popular culture. At the core of his practice is the blending of artistic periods and stylistic genres. Transcending time and pictorial conventions, Brown’s work disarms common distinctions between beauty and abjection, heightening the emotive tension present within.",http://www.maxhetzler.com/,10/31/2020,1/23/2021,charlottenburg,"Galerie Max Hetzler III,Bleibtreustra_e 15/16, ",10623,gallery,,0_And thus we_2 existed
GREEN GO HOME,Tomas Vu & Rirkrit Tiravanija,Hua International,,http://www.hua-international.com/,12/6/2020,1/23/2021,kreuzberg,"Hua International,Potsdamer Str. 81b, ",10785,gallery,,0_GREEN GO HOME
Do you feel the same,Fanny Gicquel,Hua International,"Exhibition-performance in collaboration with choreographer and performer Alice Heyward, dancers Thanos Frydas, Leah Katz, Leah Marojevi  and Luísa Saraiva.",http://www.hua-international.com/,2/6/2021,4/16/2021,kreuzberg,"Hua International,Potsdamer Str. 81b, ",10785,gallery,,0_Do you feel the same
Graduating Slytherin,Nicholas  Warburg,Galerie Anton Janizewski,,http://www.antonjanizewski.com/,12/6/2020,1/30/2021,charlottenburg,"Galerie Anton Janizewski,Goethestra_e 69, ",10625,gallery,,0_Graduating Slytherin
Von den ersten und den letzten Dingen,"Enrique Martinez Celaya, 														K_the  Kollwitz",Galerie Judin,"Bereits als Teenager entdeckte der gebürtige Kubaner Enrique Martínez Celaya (*1964) die deutschen Literaten und Philosophen für sich und erschloss sich bald auch das Werk von K the Kollwitz. Seine Leidenschaft für die Künstlerin teilt Martínez Celaya mit dem Berliner Ehepaar Gudrun und Martin Fritsch, das über Jahrzehnte die Geschicke des privaten K the-Kollwitz-Museums Berlin lenkte. Die Werke aus der Sammlung Fritsch dienten Martínez Celaya nun als Ausgangspunkt für eine eigene Werkgruppe, die aus 9 Gem lden, 2 Papierarbeiten und einer Skulptur besteht.",http://www.galeriejudin.com/,2/6/2021,4/10/2021,kreuzberg,"Galerie Judin,Potsdamer Stra_e 83, ",10785,gallery,,0_Von den ersten und den letzten Dingen
Ghada  Amer,Ghada  Amer,KEWENIG,"Kewenig is delighted to present Ghada Amer’s second exhibition at the gallery. Titled ‘The women I know’, the show focuses on a new body of works consisting of four moving portraits of female friends in Amer’s signature embroidered painting style, along with a dramatic self-portrait in black and white. The exhibition also gathers a constellation of ceramics in an attempt to survey the artist’s most recent sculptural works.",http://www.kewenig.com/,11/21/2020,2/6/2021,mitte,"KEWENIG,Brüderstr. 10, ",10178,gallery,,0_Ghada  Amer
We Sleep Where We Fall,Liliane Tomasko,KEWENIG,,http://www.kewenig.com/,2/20/2021,4/17/2021,mitte,"KEWENIG,Brüderstr. 10, ",10178,gallery,,0_We Sleep Where We Fall
"SHEROES OF PHOTOGRAPHY | From Anna Atkins to Jitka Hanzlová, from Marta Hoepffner to Tata Ronkholz",,Kicken Berlin,,http://www.kicken-gallery.com/,2/5/2021,4/23/2021,charlottenburg,"Kicken Berlin,Kaiserdamm 118, ",14057,gallery,,"0_SHEROES OF PHOTOGRAPHY | From Anna Atkins to Jitka Hanzlová, from Marta Hoepffner to Tata Ronkholz"
Helmut Newton 100 Jonathan Monk 51,,Kicken Berlin,,http://www.kicken-gallery.com/,10/31/2020,1/16/2021,charlottenburg,"Kicken Berlin,Kaiserdamm 118, ",14057,gallery,,0_Helmut Newton 100 Jonathan Monk 51
Helmut Newton 100 William N. Copley 101,,Kicken Berlin,"Helmut Newton, a native Berliner, cosmopolitan man and provocateur of fashion and portrait photography, would have turned one hundred this October. On the occasion of the centennial, Kicken Berlin, together with Berlin galleries Friese and Meyer Riegger, are repositioning some of Newton’s works from private collections in a dialogue with works by contemporary artists. At Galerie Friese, Newton’s works are shown alongside the erotically charged paintings of American artist William N. Copley (1919—1996). Meyer Riegger has invited British artist Jonathan Monk (*1969) to react directly to Newton’s photography. The parallel exhibitions encompass the subjects of physicality, sexuality, fetish, and power. The conversations among the various works — photographs, paintings, drawings, and installations — transcend eras and genres and illustrate how roles and identities, moralities and society can be provocatively charged and discussed on new terms.",http://www.kicken-gallery.com/,10/31/2020,1/16/2021,charlottenburg,"Kicken Berlin,Kaiserdamm 118, ",14057,gallery,,0_Helmut Newton 100 William N. Copley 101
A Mouth; A Tale,"Lotte Meret, 														Mahya  Ketabchi, 														Laure Marville",Klemm's,,http://www.klemms-berlin.com/,2/27/2021,3/27/2021,kreuzberg,"Klemm's,Prinzessinnenstr. 29, ",10969,gallery,,0_A Mouth; A Tale
