Event,Artist,Event__location,Description,URL,Event__start,Event__end,District,Address,PLZ,Category,Tag,
KW Production Series 2020 - Online Exhibition,"Onyeka  Igwe , 																		Lin+Lam",KW Institute for Contemporary Art,,http://www.kw-berlin.de/,"Dec. 12, 2020 "," Dec. 30, 2020",mitte,"KW Institute for Contemporary Art,Auguststr. 69, ",10117,institution,,0_KW Production Series 2020 - Online Exhibition
Amelie von Wulffen,Amelie von Wulffen,KW Institute for Contemporary Art,,http://www.kw-berlin.de/,"Dec.  5, 2020 "," May  2, 2021",mitte,"KW Institute for Contemporary Art,Auguststr. 69, ",10117,institution,,0_Amelie von Wulffen
Drawn 1975_1993,Leonilson,KW Institute for Contemporary Art,,http://www.kw-berlin.de/,28-Nov-20," May  2, 2021",mitte,"KW Institute for Contemporary Art,Auguststr. 69, ",10117,institution,,0_Drawn 1975_1993
Wir heben ab! Bilder vom Fliegen von Albrecht Dürer bis Jorinde Voigt,,Kupferstichkabinett,"How depictions of flying in general, and of the homo volans (the flying human) in particular, have evolved over the centuries, will now be shown in around 80 works from the collection of the Kupferstichkabinett. Drawings, print and works of book art ranging from the Middle Ages to the present day will be presented in the eight chapters that make up this special exhibition.",,"Oct. 31, 2020 "," Feb. 21, 2021",kreuzberg,"Kupferstichkabinett,Matth_ikirchplatz, ",10785,institution,,0_Wir heben ab! Bilder vom Fliegen von Albrecht Dürer bis Jorinde Voigt
America 1970s/80s,"Hofer, 																		Metzner, 																		Meyerowitz, 																		Newton",Museum für Fotografie/Helmut Newton Foundation,,http://www.helmutnewton.com/,"Oct.  9, 2020 "," May 16, 2021",charlottenburg,"Museum für Fotografie/Helmut Newton Foundation,Jebensstr. 2, ",10623,institution,,0_America 1970s/80s
*foundationClass - from within the cracks,,neue Gesellschaft für bildende Kunst,Werkstatt für kollektives Lernen: Online-Programm auf ww.ngbk.de,http://www.ngbk.de/,"Dec. 12, 2020 "," Jan. 24, 2021",kreuzberg,"neue Gesellschaft für bildende Kunst,Oranienstr. 25, ",10999,institution,,0_*foundationClass - from within the cracks
Peripherie als Ort. The Hellersdorf Project. Photo series by Helga Paris and Ulrich Wüst,,neue Gesellschaft für bildende Kunst,,http://www.ngbk.de/,13-Sep-20," Feb. 13, 2021",kreuzberg,"neue Gesellschaft für bildende Kunst,Oranienstr. 25, ",10999,institution,,0_Peripherie als Ort. The Hellersdorf Project. Photo series by Helga Paris and Ulrich Wüst
Lost in America,"Asher, 																		Audain, 																		Venturi / Scott Brown, 																		Steuart Curry, 																		Durant, 																		Durham, 																		Fraser, 																		Graham, 																		Green, 																		Kelley, 																		Lum, 																		MacBride, 																		Magid, 																		Piper, 																		Henkel / Pitegoff, 																		Rosler, 																		Rowland, 																		Vaughn, 																		Williamson",Neuer Berliner Kunstverein,"Mit ost in America r sentiert der Neue Berliner Kunstverein (n.b.k.) eine Gruppenausstellung, die mit Werken US-amerikanischer Kunst seit 1937 bis heute den Blick auf die gegenw rtigen politischen Verh ltnisse in den USA sch rft. Im Zentrum steht die Reflexion US-amerikanischer Geschichte sowie die Untersuchung jener Einflüsse und Entwicklungen, die die amerikanische Identit t durch ihre spezifische nationale und politische  konomie gepr gt haben   insbesondere die Institution der Sklaverei und ihr tragisches Erbe in Hinsicht auf die Kultur und das Alltagsleben. Die Auseinandersetzung mit dem Rassismus und seiner Eingebundenheit in eine neoliberale Agenda, die soziale Diskurse wie politische Entscheidungen wesentlich beeinflusst, ist eines der wesentlichen Themen der Ausstellung. ost in America esch ftigt sich mit der ideologischen Formation von Produktionsverh ltnissen, von Stadtplanung, Architektur und Design sowie der darüber erfolgenden Institutionalisierung diskriminierender Dispositive. Dabei unterstreicht sie nicht zuletzt das appellatorische Potential jener Form systemischer Sozialanalyse, die für konzeptuelle Kunstpraktiken konstitutiv ist.In Kooperation mit dem Museum im Bellpark, Kriens und dem Barnard College / Columbia University, New York",http://www.nbk.org/,10-Sep-20," Jan. 17, 2021",mitte,"Neuer Berliner Kunstverein,Chausseestr. 128/129, ",10115,institution,,0_Lost in America
20 Years of _Der Bev_lkerung (To the Population)_ at the German Bundestag. A Project Documentation.,Hans Haacke,Neuer Berliner Kunstverein,,http://www.nbk.org/,10-Sep-20," Jan. 15, 2021",mitte,"Neuer Berliner Kunstverein,Chausseestr. 128/129, ",10115,institution,,0_20 Years of _Der Bev_lkerung (To the Population)_ at the German Bundestag. A Project Documentation.
Die gro_e Melancholie ...,Herta Müller,Neuer Berliner Kunstverein,,http://www.nbk.org/,10-Sep-20," Aug. 31, 2021",mitte,"Neuer Berliner Kunstverein,Chausseestr. 128/129, ",10115,institution,,0_Die gro_e Melancholie ...
Falling Apart Together,"Vito Acconci, 																		Bj_rn Melhus, 																		Robert  Ashley, 																		Niklas  Goldbach, 																		Ira  Schneider, 																		Martha Rosler, 																		Corinna  Schnitt, 																		Robert  Wilson, 																		Paul  Garrin, 																		Les Levine",Neuer Berliner Kunstverein,,http://www.nbk.org/,"Oct. 20, 2020 "," Jan. 17, 2021",mitte,"Neuer Berliner Kunstverein,Chausseestr. 128/129, ",10115,institution,,0_Falling Apart Together
K.H. H_dicke,K.H. H_dicke,PalaisPopulaire,"The exhibition . H. H dicke t the PalaisPopulaire in Berlin is conceived as a retrospective and offers insight into an almost inexhaustible artistic oeuvre and in its juxtaposition of drawings, paintings, and sculpture demonstrates that K. H. H dicke today is to be counted among the classics but that his decades-spanning work has retained its freshness and topicality.",http://www.db-palaispopulaire.de/,"Oct.  9, 2020 "," Apr.  5, 2021",mitte,"PalaisPopulaire,Unter den Linden 5, ",10117,institution,,0_K.H. H_dicke
Time Present - Photography from the Deutsche Bank Collection,,PalaisPopulaire,"The exhibition Time Present with works from the Deutsche Bank Collection at the PalaisPopulaire, is devoted to international photography from the 1970s to the present. The show examines how artists deal with time and the basic questions of photography: What different levels of reality and time does a photograph capture? Does it actually depict a certain moment? Is what is seen in a photograph present or past, reality or imagination?",http://www.db-palaispopulaire.de/,10-Jun-20," Feb. 22, 2021",mitte,"PalaisPopulaire,Unter den Linden 5, ",10117,institution,,0_Time Present - Photography from the Deutsche Bank Collection
